rank,material_id,formula,space_group,theta_D_K,lambda,lambda_source,Tc_estimated_K,Tc_experimental_K,R_tau,R_tau_multi,n_channels,channels,channels_needed_300K,pressure_GPa,notes
165,mp-1226362,Cu6Te2Mo2H2Cl4O15,P1,223.7,1.000,light-element hydride heuristic,11.87,0.0,0.029506,0.118022,4,phonon+spin+topological+charge,26,0.0,
166,mp-1202297,Cu4H6SO10,P2_1/c,216.2,1.800,hydride heuristic (H_count=6),24.54,0.0,0.058962,0.117924,2,phonon+spin,13,0.0,
167,mp-1190750,ErH3,P-3c1,275.1,1.200,hydride heuristic (H_count=3),19.28,0.0,0.058924,0.117848,2,phonon+spin,16,0.0,
168,mp-1199805,Ce2H8S3O16,P2_1/c,205.7,2.000,hydride heuristic (H_count=8),25.75,0.0,0.058857,0.117714,2,phonon+spin,12,0.0,
169,mp-697677,CeMg2H7,P4_12_12,210.4,1.900,hydride heuristic (H_count=7),25.14,0.0,0.058778,0.117556,2,phonon+spin,12,0.0,
170,mp-1217479,ThUH8(C2O5)4,C222,205.5,2.000,hydride heuristic (H_count=8),25.73,0.0,0.058767,0.117533,2,phonon+spin,12,0.0,
171,mp-1201788,Na2U2CoH8(C3O7)4,P-1,205.5,2.000,hydride heuristic (H_count=8),25.73,0.0,0.058752,0.117503,2,phonon+spin,12,0.0,
172,mp-999123,TbH3,Fm-3m,274.6,1.200,hydride heuristic (H_count=3),19.24,0.0,0.058688,0.117377,2,phonon+spin,16,0.0,
173,mp-1196143,Na2U2MnH8(C3O7)4,P-1,205.2,2.000,hydride heuristic (H_count=8),25.68,0.0,0.058554,0.117109,2,phonon+spin,12,0.0,
174,mp-1210551,PuH16C3N4O11,C2/c,190.1,2.400,hydride heuristic (H_count=16),27.70,0.0,0.058510,0.117021,2,phonon+spin,11,0.0,
175,mp-1202403,Na2U2ZnH8(C3O7)4,P-1,205.0,2.000,hydride heuristic (H_count=8),25.67,0.0,0.058470,0.116940,2,phonon+spin,12,0.0,
176,mp-1220079,Ni2H,R-3m,283.8,0.900,light-element hydride heuristic,12.33,0.0,0.038897,0.116691,3,phonon+spin+orbital,25,0.0,
177,mp-753890,Ni2H,P-3m1,283.8,0.900,light-element hydride heuristic,12.33,0.0,0.038894,0.116682,3,phonon+spin+orbital,25,0.0,
178,mp-707264,NaCa3UH16C3SO25F,P-1,189.6,2.400,hydride heuristic (H_count=16),27.62,0.0,0.058187,0.116374,2,phonon+spin,11,0.0,
179,mp-504939,V2Cu3H24(OF)12,P-1,189.5,2.400,hydride heuristic (H_count=24),27.62,0.0,0.058160,0.116319,2,phonon+spin,11,0.0,
180,mp-24429,CrCuH18Br5N6,Fd-3c,189.5,2.400,hydride heuristic (H_count=18),27.61,0.0,0.058148,0.116296,2,phonon+spin,11,0.0,
181,mp-1210476,NpH16C3N4O11,C2/c,189.2,2.400,hydride heuristic (H_count=16),27.57,0.0,0.057965,0.115929,2,phonon+spin,11,0.0,
182,mp-1096963,CuH6CI3N,Pnma,214.3,1.800,hydride heuristic (H_count=6),24.33,0.0,0.057933,0.115866,2,phonon+spin,13,0.0,
183,mp-1220590,Nb3SnH,Ama2,282.7,0.900,light-element hydride heuristic,12.29,0.0,0.038587,0.115761,3,phonon+topological+charge,25,0.0,
184,mp-730972,UP3H10ClO8,Pbcm,195.7,2.200,hydride heuristic (H_count=10),26.59,0.0,0.057806,0.115612,2,phonon+spin,12,0.0,
185,mp-866480,CoMoH2SeO7,P-1,221.2,1.000,light-element hydride heuristic,11.74,0.0,0.028862,0.115449,4,phonon+spin+topological+charge,26,0.0,
186,mp-720263,CuH4SeO5,P2_12_12_1,205.0,1.350,hydride heuristic (H_count=4),16.88,0.0,0.038457,0.115372,3,phonon+spin+topological,18,0.0,
187,mp-1189352,ZnCu3H6(ClO3)2,R-3m,213.0,1.800,hydride heuristic (H_count=6),24.17,0.0,0.057214,0.114428,2,phonon+spin,13,0.0,
188,mp-1201576,ZnCu2PH7O9,P2_1/c,206.4,1.900,hydride heuristic (H_count=7),24.66,0.0,0.056559,0.113118,2,phonon+spin,13,0.0,
189,mp-1224599,GdYH4,P4/mmm,248.6,1.350,hydride heuristic (H_count=4),20.47,0.0,0.056540,0.113079,2,phonon+spin,15,0.0,
190,mp-24285,NpH2,Fm-3m,309.6,1.000,light-element hydride heuristic,16.43,0.0,0.056526,0.113052,2,phonon+spin,19,0.0,
191,mp-23989,GdH12(ClO2)3,P2/c,186.8,2.400,hydride heuristic (H_count=12),27.21,0.0,0.056462,0.112924,2,phonon+spin,12,0.0,
192,mp-560161,ZnCu3H6(ClO3)2,P-3m1,211.4,1.800,hydride heuristic (H_count=6),24.00,0.0,0.056373,0.112747,2,phonon+spin,13,0.0,
193,mp-1095560,Zr3Al3Ni3H2,P-62m,252.3,1.000,light-element hydride heuristic,13.39,0.0,0.037544,0.112633,3,phonon+spin+orbital,23,0.0,
194,mp-1191571,DyH3,P-3c1,268.6,1.200,hydride heuristic (H_count=3),18.82,0.0,0.056145,0.112291,2,phonon+spin,16,0.0,
195,mp-1204667,PuP2H6(CO3)2,P2_1/c,210.7,1.800,hydride heuristic (H_count=6),23.91,0.0,0.055975,0.111949,2,phonon+spin,13,0.0,
196,mp-1207078,CaNiH3,Pm-3m,218.8,1.200,hydride heuristic (H_count=3),15.33,0.0,0.037266,0.111799,3,phonon+spin+orbital,20,0.0,
197,mp-1017629,MgNiH3,Pm-3m,218.7,1.200,hydride heuristic (H_count=3),15.32,0.0,0.037245,0.111736,3,phonon+spin+orbital,20,0.0,
198,mp-1209301,RbCu2H3(SeO5)2,C2/m,218.4,1.200,hydride heuristic (H_count=3),15.30,0.0,0.037126,0.111378,3,phonon+spin+topological,20,0.0,
199,mp-24719,NiH,Fm-3m,277.0,0.900,light-element hydride heuristic,12.04,0.0,0.037065,0.111195,3,phonon+spin+orbital,25,0.0,
200,mp-698125,NpH16C4N8ClO6,C2/c,185.3,2.400,hydride heuristic (H_count=16),27.00,0.0,0.055583,0.111166,2,phonon+spin,12,0.0,
201,mp-24339,Sm5Sb3H,P6_3/mcm,277.0,0.900,light-element hydride heuristic,12.04,0.0,0.037049,0.111148,3,phonon+spin+topological,25,0.0,
202,mp-1223548,KCo2H3(SeO5)2,Cm,217.9,1.200,hydride heuristic (H_count=3),15.27,0.0,0.036958,0.110873,3,phonon+spin+topological,20,0.0,
203,mp-1217796,Tb2Ti2Fe22H,Cm,276.3,0.900,light-element hydride heuristic,12.01,0.0,0.036872,0.110617,3,phonon+spin+orbital,25,0.0,
204,mp-567838,La2AlNi9H,Pm,276.0,0.900,light-element hydride heuristic,11.99,0.0,0.036775,0.110325,3,phonon+spin+orbital,26,0.0,
205,mp-721062,V2Cu3H6O11,C2/m,208.7,1.800,hydride heuristic (H_count=6),23.69,0.0,0.054925,0.109851,2,phonon+spin,13,0.0,
206,mp-866468,CrH9(BrN)3,P-1,194.2,2.100,hydride heuristic (H_count=9),25.37,0.0,0.054762,0.109525,2,phonon+spin,12,0.0,
207,mp-1216869,V2Cu3H6O11,C2,208.2,1.800,hydride heuristic (H_count=6),23.63,0.0,0.054645,0.109290,2,phonon+spin,13,0.0,
208,mp-1227780,Ce2Ti2Fe22H,Cm,274.6,0.900,light-element hydride heuristic,11.93,0.0,0.036415,0.109244,3,phonon+spin+orbital,26,0.0,
209,mp-1204591,V2Cu3H6O11,Cc,208.1,1.800,hydride heuristic (H_count=6),23.62,0.0,0.054614,0.109229,2,phonon+spin,13,0.0,
210,mp-1220118,NdTiFe11H,Imm2,274.5,0.900,light-element hydride heuristic,11.93,0.0,0.036393,0.109180,3,phonon+spin+orbital,26,0.0,
211,mp-982384,TbH3,P-3c1,264.6,1.200,hydride heuristic (H_count=3),18.54,0.0,0.054517,0.109035,2,phonon+spin,17,0.0,
212,mp-555985,YbH7C3O8,P-1,202.5,1.900,hydride heuristic (H_count=7),24.20,0.0,0.054461,0.108922,2,phonon+spin,13,0.0,
213,mp-1201393,Na6UH24C5O27,P-1,183.3,2.400,hydride heuristic (H_count=24),26.70,0.0,0.054372,0.108744,2,phonon+spin,12,0.0,
214,mp-1215121,BaCuH12(C2O7)2,C2/c,183.3,2.400,hydride heuristic (H_count=12),26.70,0.0,0.054371,0.108742,2,phonon+spin,12,0.0,
215,mp-1079249,TbH3,P6_3/mmc,264.1,1.200,hydride heuristic (H_count=3),18.50,0.0,0.054282,0.108564,2,phonon+spin,17,0.0,
216,mp-1198333,Na5Cu2H14S4O19,P2_1/c,182.9,2.400,hydride heuristic (H_count=14),26.64,0.0,0.054139,0.108278,2,phonon+spin,12,0.0,
217,mp-24555,MnTl2H2OF5,Cmcm,246.6,1.000,light-element hydride heuristic,13.09,0.0,0.035851,0.107552,3,phonon+spin+topological,23,0.0,
218,mp-867857,SmH3,Fm-3m,262.4,1.200,hydride heuristic (H_count=3),18.38,0.0,0.053596,0.107192,2,phonon+spin,17,0.0,
219,mp-721072,Cu3As2H2PbO10,C2/c,246.1,1.000,light-element hydride heuristic,13.06,0.0,0.035702,0.107106,3,phonon+spin+topological,23,0.0,
220,mp-744084,MnAgH8(OF)4,P2_1/m,196.2,2.000,hydride heuristic (H_count=8),24.56,0.0,0.053536,0.107073,2,phonon+spin,13,0.0,
221,mp-1201754,Np2H2SeO10,P2_1/c,245.8,1.000,light-element hydride heuristic,13.04,0.0,0.035627,0.106882,3,phonon+spin+topological,23,0.0,
222,mp-1213584,Cu3H8S4(NO8)2,Pnma,195.9,2.000,hydride heuristic (H_count=8),24.52,0.0,0.053377,0.106753,2,phonon+spin,13,0.0,
223,mp-707879,K2Cu5H8(Cl4O3)2,P2_1/c,195.8,2.000,hydride heuristic (H_count=8),24.51,0.0,0.053314,0.106628,2,phonon+spin,13,0.0,
224,mp-1215380,Zr6Al7Cu16H3,Imm2,261.7,1.200,hydride heuristic (H_count=3),18.33,0.0,0.053303,0.106606,2,phonon+spin,17,0.0,
225,mp-505786,CeH14Cl3O7,P-1,181.4,2.400,hydride heuristic (H_count=14),26.43,0.0,0.053281,0.106562,2,phonon+spin,12,0.0,
226,mp-505686,GdH3,P-3c1,260.9,1.200,hydride heuristic (H_count=3),18.28,0.0,0.052997,0.105995,2,phonon+spin,17,0.0,
227,mp-24131,GdH3,P6_3/mmc,260.3,1.200,hydride heuristic (H_count=3),18.24,0.0,0.052746,0.105492,2,phonon+spin,17,0.0,
228,mp-1210555,Mn3SnH,Pm-3m,269.8,0.900,light-element hydride heuristic,11.72,0.0,0.035139,0.105417,3,phonon+spin+topological,26,0.0,
229,mp-1222151,Mg2NiH4,Imm2,195.8,1.350,hydride heuristic (H_count=4),16.12,0.0,0.035082,0.105245,3,phonon+spin+orbital,19,0.0,
230,mp-690769,CuP2H12N2(O4F)2,C2/m,180.1,2.400,hydride heuristic (H_count=12),26.24,0.0,0.052520,0.105040,2,phonon+spin,12,0.0,
231,mp-556725,CuH8C2Br3NO,P-1,194.1,2.000,hydride heuristic (H_count=8),24.29,0.0,0.052381,0.104761,2,phonon+spin,13,0.0,
232,mp-1204167,CeH14Cl3O7,P1,179.7,2.400,hydride heuristic (H_count=14),26.18,0.0,0.052257,0.104514,2,phonon+spin,12,0.0,
233,mp-1188036,ZrNiH,Cmcm,268.1,0.900,light-element hydride heuristic,11.65,0.0,0.034714,0.104142,3,phonon+spin+orbital,26,0.0,
234,mp-1182034,CeH14Cl3O7,P1,179.3,2.400,hydride heuristic (H_count=14),26.12,0.0,0.052032,0.104065,2,phonon+spin,12,0.0,
235,mp-1236222,LiCu2B2H8(ClO4)2,P-4,193.3,2.000,hydride heuristic (H_count=8),24.20,0.0,0.051962,0.103923,2,phonon+spin,13,0.0,
236,mp-1147754,K3Cu2H7,I4/mmm,197.8,1.900,hydride heuristic (H_count=7),23.63,0.0,0.051948,0.103897,2,phonon+spin,13,0.0,
237,mp-24723,TaH2,Fm-3m,327.7,0.900,metal hydride heuristic,14.24,0.0,0.051854,0.103708,2,phonon+topological,22,0.0,
238,mp-604496,CeSiHRu,P4/nmm,266.8,0.900,light-element hydride heuristic,11.60,0.0,0.034378,0.103135,3,phonon+spin+orbital,26,0.0,
239,mp-1188065,ZrCoH3,Cmcm,257.4,1.200,hydride heuristic (H_count=3),18.03,0.0,0.051563,0.103126,2,phonon+spin,17,0.0,
240,mp-1224720,Na4V10Co(H11O13)4,P-1,181.5,2.300,hydride heuristic (H_count=11),25.56,0.0,0.051543,0.103087,2,phonon+spin,12,0.0,
241,mp-849751,CsCoH24(SO10)2,Pa-3,178.1,2.400,hydride heuristic (H_count=24),25.95,0.0,0.051354,0.102709,2,phonon+spin,12,0.0,
242,mp-1018691,Eu2H3Br,P-3m1,256.3,1.200,hydride heuristic (H_count=3),17.96,0.0,0.051144,0.102287,2,phonon+spin,17,0.0,
243,mp-1201541,NpH6Cl2O13,P2_1/c,200.7,1.800,hydride heuristic (H_count=6),22.78,0.0,0.050799,0.101598,2,phonon+spin,14,0.0,
244,mp-1278612,FePH5CO4,P1,180.4,1.500,hydride heuristic (H_count=5),16.88,0.0,0.033848,0.101545,3,phonon+spin+orbital,18,0.0,
245,mp-1210493,NaFe9Si6B3H3O31,R3m,208.2,1.200,hydride heuristic (H_count=3),14.59,0.0,0.033748,0.101245,3,phonon+spin+orbital,21,0.0,
246,mp-1188090,Eu5Sn3H,I4/mcm,263.3,0.900,light-element hydride heuristic,11.44,0.0,0.033472,0.100415,3,phonon+spin+topological,27,0.0,
247,mp-1190493,NiH5CN(ClO)2,C2/c,179.4,1.500,hydride heuristic (H_count=5),16.79,0.0,0.033463,0.100388,3,phonon+spin+orbital,18,0.0,
248,mp-1196039,CuH10SO9,P-1,182.3,2.200,hydride heuristic (H_count=10),24.77,0.0,0.050163,0.100327,2,phonon+spin,13,0.0,
249,mp-510629,K2Co3H6S3O16,Cmc2_1,199.3,1.800,hydride heuristic (H_count=6),22.62,0.0,0.050099,0.100198,2,phonon+spin,14,0.0,
250,mp-746676,CsMnH24(SO10)2,Pa-3,175.7,2.400,hydride heuristic (H_count=24),25.60,0.0,0.049991,0.099982,2,phonon+spin,12,0.0,
251,mp-1191652,CuH2PbSO6,P2_1/m,237.7,1.000,light-element hydride heuristic,12.62,0.0,0.033326,0.099979,3,phonon+spin+topological,24,0.0,
252,mp-1200215,CuH12(NO6)2,P-1,175.6,2.400,hydride heuristic (H_count=12),25.59,0.0,0.049930,0.099861,2,phonon+spin,12,0.0,
253,mp-1190866,Ca4Ni20H,Cmm2,262.5,0.900,light-element hydride heuristic,11.41,0.0,0.033280,0.099839,3,phonon+spin+orbital,27,0.0,
254,mp-699488,CsTiH24(SO10)2,Pbca,175.4,2.400,hydride heuristic (H_count=24),25.56,0.0,0.049812,0.099624,2,phonon+charge,12,0.0,
255,mp-1192065,SmH3,P-3c1,252.9,1.200,hydride heuristic (H_count=3),17.72,0.0,0.049773,0.099546,2,phonon+spin,17,0.0,
256,mp-721086,Li2CuP6H20C2(N3O11)2,P-1,175.2,2.400,hydride heuristic (H_count=20),25.53,0.0,0.049713,0.099425,2,phonon+spin,12,0.0,
257,mp-1213828,CeMg(NiH)4,Pmn2_1,261.9,0.900,light-element hydride heuristic,11.38,0.0,0.033118,0.099355,3,phonon+spin+orbital,27,0.0,
258,mp-634751,YbH2,Fm-3m,290.2,1.000,light-element hydride heuristic,15.40,0.0,0.049653,0.099305,2,phonon+spin,20,0.0,
259,mp-744672,Ca2Mn2Si4H6O17,C2,198.4,1.800,hydride heuristic (H_count=6),22.52,0.0,0.049629,0.099258,2,phonon+spin,14,0.0,
260,mp-735783,BaNaFe4P6H3O25,P2_1/c,205.9,1.200,hydride heuristic (H_count=3),14.42,0.0,0.032995,0.098985,3,phonon+spin+orbital,21,0.0,
261,mp-850027,CuH12N2(OF2)2,P2_1/c,174.8,2.400,hydride heuristic (H_count=12),25.47,0.0,0.049465,0.098929,2,phonon+spin,12,0.0,
262,mp-1198651,CeB5H7NO15,P2_1/c,192.9,1.900,hydride heuristic (H_count=7),23.05,0.0,0.049414,0.098829,2,phonon+spin,14,0.0,
263,mp-707413,CuH12N2(OF2)2,P2_1/c,174.7,2.400,hydride heuristic (H_count=12),25.45,0.0,0.049411,0.098822,2,phonon+spin,12,0.0,
264,mp-1189636,NdMg(NiH)4,Pmn2_1,261.2,0.900,light-element hydride heuristic,11.35,0.0,0.032937,0.098812,3,phonon+spin+orbital,27,0.0,
265,mp-1104951,Ca2Ni10H,Amm2,261.1,0.900,light-element hydride heuristic,11.35,0.0,0.032922,0.098767,3,phonon+spin+orbital,27,0.0,
266,mp-1018693,Eu2H3Cl,P-3m1,251.7,1.200,hydride heuristic (H_count=3),17.63,0.0,0.049312,0.098623,2,phonon+spin,18,0.0,
267,mp-1183713,CeH3,I4/mmm,251.5,1.200,hydride heuristic (H_count=3),17.62,0.0,0.049235,0.098470,2,phonon+spin,18,0.0,
268,mp-1104735,Ca2Ni10H,Cm,260.4,0.900,light-element hydride heuristic,11.32,0.0,0.032739,0.098216,3,phonon+spin+orbital,27,0.0,
269,mp-1078008,CaNi5H,Amm2,260.2,0.900,light-element hydride heuristic,11.31,0.0,0.032696,0.098089,3,phonon+spin+orbital,27,0.0,
270,mp-1078093,CaNi5H,Cmm2,260.2,0.900,light-element hydride heuristic,11.31,0.0,0.032692,0.098076,3,phonon+spin+orbital,27,0.0,
271,mp-1248954,Ca2Mn2Si4H6O17,P1,197.1,1.800,hydride heuristic (H_count=6),22.37,0.0,0.048976,0.097953,2,phonon+spin,14,0.0,
272,mp-1104215,Ca2Ni10H,Cmmm,259.7,0.900,light-element hydride heuristic,11.29,0.0,0.032565,0.097695,3,phonon+spin+orbital,27,0.0,
273,mp-1008376,CeH3,Fm-3m,250.4,1.200,hydride heuristic (H_count=3),17.54,0.0,0.048797,0.097593,2,phonon+spin,18,0.0,
274,mp-1104841,Ca2Ni10H,Cmm2,259.5,0.900,light-element hydride heuristic,11.28,0.0,0.032530,0.097590,3,phonon+spin+orbital,27,0.0,
275,mp-699489,CsTiH24(SO10)2,Pa-3,173.6,2.400,hydride heuristic (H_count=24),25.29,0.0,0.048779,0.097558,2,phonon+charge,12,0.0,
276,mp-1078107,CaNi5H,Cmmm,259.1,0.900,light-element hydride heuristic,11.26,0.0,0.032411,0.097234,3,phonon+spin+orbital,27,0.0,
277,mp-1103879,Ca2Ni10H,P3m1,259.1,0.900,light-element hydride heuristic,11.26,0.0,0.032410,0.097231,3,phonon+spin+orbital,27,0.0,
278,mp-676763,SbH7F11,P1,191.4,1.900,hydride heuristic (H_count=7),22.86,0.0,0.048607,0.097215,2,phonon+topological,14,0.0,
279,mp-39540,CrSiH12(OF)6,R-3,173.1,2.400,hydride heuristic (H_count=12),25.22,0.0,0.048486,0.096973,2,phonon+spin,12,0.0,
280,mp-766026,RbCuSb2H2Se4O,Pnma,234.1,1.000,light-element hydride heuristic,12.43,0.0,0.032324,0.096973,3,phonon+spin+topological,25,0.0,
281,mp-677406,CuH12N2(Cl2O)2,P1,172.9,2.400,hydride heuristic (H_count=12),25.19,0.0,0.048384,0.096768,2,phonon+spin,12,0.0,
282,mp-1078183,CaNi5H,Cm,258.4,0.900,light-element hydride heuristic,11.23,0.0,0.032245,0.096734,3,phonon+spin+orbital,27,0.0,
283,mp-981547,PrH3,I4/mmm,249.0,1.200,hydride heuristic (H_count=3),17.45,0.0,0.048276,0.096552,2,phonon+spin,18,0.0,
284,mp-24011,CeHSe,P6_3/mmc,257.9,0.900,light-element hydride heuristic,11.21,0.0,0.032116,0.096348,3,phonon+spin+topological,27,0.0,
285,mp-23857,CoCuH18N6Cl5,Fd-3c,172.5,2.400,hydride heuristic (H_count=18),25.13,0.0,0.048168,0.096336,2,phonon+spin,12,0.0,
286,mp-1199989,K3NaNp4H4(S2O13)2,C2/c,228.9,1.350,hydride heuristic (H_count=4),18.84,0.0,0.047929,0.095858,2,phonon+spin,16,0.0,
287,mp-504531,CuH20S2(NO7)2,P2_1/c,171.5,2.400,hydride heuristic (H_count=20),24.98,0.0,0.047588,0.095176,2,phonon+spin,13,0.0,
288,mp-744404,K2FeH4(SO5)2,P1,186.2,1.350,hydride heuristic (H_count=4),15.33,0.0,0.031723,0.095169,3,phonon+spin+orbital,20,0.0,
289,mp-559038,CuH12C4(NO)6,P-4n2,171.4,2.400,hydride heuristic (H_count=12),24.97,0.0,0.047558,0.095116,2,phonon+spin,13,0.0,
290,mp-1205250,CuH5IO7,P2_12_12_1,213.8,1.500,hydride heuristic (H_count=5),20.01,0.0,0.047516,0.095032,2,phonon+spin,15,0.0,
291,mp-1221165,Na4H4PdPt,P4/mmm,227.6,1.350,hydride heuristic (H_count=4),18.74,0.0,0.047385,0.094770,2,phonon+topological,17,0.0,
292,mp-510449,CoH20S2(NO7)2,P2_1/c,170.6,2.400,hydride heuristic (H_count=20),24.85,0.0,0.047100,0.094199,2,phonon+spin,13,0.0,
293,mp-505004,MnH10SO9,P-1,176.3,2.200,hydride heuristic (H_count=10),23.96,0.0,0.046937,0.093875,2,phonon+spin,13,0.0,
294,mp-1214950,Ba2NaCe2Ti2FeSi8HO27,C2,220.0,0.900,light-element hydride heuristic,9.56,0.0,0.023367,0.093468,4,phonon+spin+charge+orbital,32,0.0,
295,mp-976578,NdH3,P-3c1,244.7,1.200,hydride heuristic (H_count=3),17.14,0.0,0.046596,0.093191,2,phonon+spin,18,0.0,
296,mp-1202852,CrH10SO9,P-1,175.6,2.200,hydride heuristic (H_count=10),23.85,0.0,0.046534,0.093067,2,phonon+spin,13,0.0,
297,mp-705846,CuH16(ClO8)2,P2_1/c,169.5,2.400,hydride heuristic (H_count=16),24.70,0.0,0.046527,0.093053,2,phonon+spin,13,0.0,
298,mp-1207595,ZnP2H13C2(N3O4)2,Pna2_1,169.3,2.400,hydride heuristic (H_count=13),24.66,0.0,0.046385,0.092770,2,phonon+spin,13,0.0,
299,mp-510292,CuPH6NO5,Pmn2_1,191.6,1.800,hydride heuristic (H_count=6),21.74,0.0,0.046286,0.092573,2,phonon+spin,14,0.0,
300,mp-1194919,Eu2CuH4(SO6)2,P2_1/c,224.8,1.350,hydride heuristic (H_count=4),18.51,0.0,0.046239,0.092479,2,phonon+spin,17,0.0,
301,mp-644483,Ti3SnH,Pm-3m,252.7,0.900,light-element hydride heuristic,10.98,0.0,0.030825,0.092474,3,phonon+topological+charge,28,0.0,
302,mp-559223,GdH6C4NO9,P2/c,191.3,1.800,hydride heuristic (H_count=6),21.72,0.0,0.046172,0.092343,2,phonon+spin,14,0.0,
303,mp-643756,EuMgH4,Cmc2_1,224.5,1.350,hydride heuristic (H_count=4),18.48,0.0,0.046110,0.092221,2,phonon+spin,17,0.0,
304,mp-1203110,CuH10C2(NCl2)2,P2_1/c,174.7,2.200,hydride heuristic (H_count=10),23.73,0.0,0.046065,0.092130,2,phonon+spin,13,0.0,
305,mp-30085,ThZr2H7,Fd-3m,263.3,1.900,hydride heuristic (H_count=7),31.45,0.0,0.092009,0.092009,1,phonon,10,0.0,
306,mp-643706,Cs3MnH5,I4/mcm,210.3,1.500,hydride heuristic (H_count=5),19.68,0.0,0.045976,0.091951,2,phonon+spin,16,0.0,
307,mp-1196749,CrSiH8(O2F3)2,P2_1/c,181.8,2.000,hydride heuristic (H_count=8),22.76,0.0,0.045975,0.091949,2,phonon+spin,14,0.0,
308,mp-1222194,Mn29H2,Cm,279.1,1.000,light-element hydride heuristic,14.81,0.0,0.045940,0.091880,2,phonon+spin,21,0.0,
309,mp-1173455,Rb2Cu4H5(SO5)4,P2/m,209.9,1.500,hydride heuristic (H_count=5),19.65,0.0,0.045831,0.091662,2,phonon+spin,16,0.0,
310,mp-505289,VCuHPbO5,Pnma,251.4,0.900,light-element hydride heuristic,10.93,0.0,0.030531,0.091593,3,phonon+spin+topological,28,0.0,
311,mp-849272,Li4Ni2P4H3O16,P1,198.0,1.200,hydride heuristic (H_count=3),13.87,0.0,0.030520,0.091560,3,phonon+spin+orbital,22,0.0,
312,mp-1200008,PuP2H4CO7,P-1,223.7,1.350,hydride heuristic (H_count=4),18.41,0.0,0.045767,0.091533,2,phonon+spin,17,0.0,
313,mp-698417,MnH12C2(NCl2)2,Cmce,167.9,2.400,hydride heuristic (H_count=12),24.47,0.0,0.045652,0.091304,2,phonon+spin,13,0.0,
314,mp-1195494,NpH4ClO4,I4_1/a,223.3,1.350,hydride heuristic (H_count=4),18.39,0.0,0.045622,0.091244,2,phonon+spin,17,0.0,
315,mp-1200565,PuP2H4CO7,Pbca,222.7,1.350,hydride heuristic (H_count=4),18.33,0.0,0.045355,0.090710,2,phonon+spin,17,0.0,
316,mp-1234789,Rb2MgCu4H5(SO5)4,P1,208.8,1.500,hydride heuristic (H_count=5),19.54,0.0,0.045341,0.090683,2,phonon+spin,16,0.0,
317,mp-720855,CoH17S2N5ClO4,Pnma,167.2,2.400,hydride heuristic (H_count=17),24.36,0.0,0.045246,0.090491,2,phonon+spin,13,0.0,
318,mp-643945,TiFeH2,Cmmm,249.8,0.900,metal hydride heuristic,10.86,0.0,0.030132,0.090395,3,phonon+spin+orbital,28,0.0,
319,mp-541365,LiEuH3,Pm-3m,240.8,1.200,hydride heuristic (H_count=3),16.87,0.0,0.045144,0.090287,2,phonon+spin,18,0.0,
320,mp-1662213,Li2Fe2P4H3O16,P1,196.6,1.200,hydride heuristic (H_count=3),13.77,0.0,0.030081,0.090244,3,phonon+spin+orbital,22,0.0,
321,mp-752522,Li2Fe2P4H3O16,P1,196.6,1.200,hydride heuristic (H_count=3),13.77,0.0,0.030077,0.090230,3,phonon+spin+orbital,22,0.0,
322,mp-1663191,Li2Fe2P4H3O16,P1,196.4,1.200,hydride heuristic (H_count=3),13.76,0.0,0.030028,0.090084,3,phonon+spin+orbital,22,0.0,
323,mp-695928,CoPH6O6F,P-1,188.7,1.800,hydride heuristic (H_count=6),21.41,0.0,0.044887,0.089773,2,phonon+spin,15,0.0,
324,mp-24720,PuH2,Fm-3m,304.7,0.900,metal hydride heuristic,13.24,0.0,0.044841,0.089681,2,phonon+spin,23,0.0,
325,mp-1233920,Rb2MgCu4H5(SO5)4,P1,207.6,1.500,hydride heuristic (H_count=5),19.43,0.0,0.044810,0.089620,2,phonon+spin,16,0.0,
326,mp-1196178,TiH9(SO6)2,Pnma,175.5,2.100,hydride heuristic (H_count=9),22.93,0.0,0.044713,0.089426,2,phonon+charge,14,0.0,
327,mp-1233622,Rb2MgCu4H5(SO5)4,P1,207.2,1.500,hydride heuristic (H_count=5),19.39,0.0,0.044660,0.089319,2,phonon+spin,16,0.0,
328,mp-778207,MnH8(SO6)2,C2/c,178.7,2.000,hydride heuristic (H_count=8),22.38,0.0,0.044437,0.088875,2,phonon+spin,14,0.0,
329,mp-1233896,Rb2MgCu4H5(SO5)4,P1,206.7,1.500,hydride heuristic (H_count=5),19.35,0.0,0.044437,0.088874,2,phonon+spin,16,0.0,
330,mp-1199425,CuH14C4(NO2)4,P2_1/c,165.5,2.400,hydride heuristic (H_count=14),24.11,0.0,0.044334,0.088668,2,phonon+spin,13,0.0,
331,mp-1173785,Na2Cu4H5(SO5)4,P2/m,206.4,1.500,hydride heuristic (H_count=5),19.32,0.0,0.044305,0.088610,2,phonon+spin,16,0.0,
332,mp-1017509,MgNiH2,P4/mmm,223.7,1.000,light-element hydride heuristic,11.87,0.0,0.029509,0.088527,3,phonon+spin+orbital,26,0.0,
333,mp-772432,FeH4(SO5)2,P-1,179.4,1.350,hydride heuristic (H_count=4),14.77,0.0,0.029446,0.088338,3,phonon+spin+orbital,21,0.0,
334,mp-1234188,Rb2MgCu4H5(SO5)4,P1,205.9,1.500,hydride heuristic (H_count=5),19.27,0.0,0.044091,0.088182,2,phonon+spin,16,0.0,
